date,close,volume,open,high,low
6/28/2017,143.95,17738130,142.65,144.37,141.48
6/27/2017,141.53,17357530,143.9,144.38,141.1
6/26/2017,142.73,17820360,144.03,145.36,141.27
6/23/2017,143.01,11748910,142.1,143.34,141.6
6/22/2017,142.27,21880720,142.05,144.68,140.88
6/21/2017,143.29,30893320,138.82,143.5,138.02
6/20/2017,138.38,19974660,140.08,140.63,137.93
6/19/2017,139.47,24921200,137.81,140.4,137.4
6/16/2017,134.87,36327490,136.28,136.5,133.55
6/15/2017,135.08,30498630,135.64,135.67,133.1
6/14/2017,136.67,32828070,137.8,139.25,135.26
6/13/2017,136.6,40858290,141.88,142.244,135.9
6/12/2017,139.08,32160830,139.17,142.2,136.05
6/9/2017,139.44,54344790,144.57,148.29,137.01
6/8/2017,142.34,81317190,142.51,143.7,135.21
6/7/2017,125.64,9429288,125.08,125.91,124.11
6/6/2017,124.62,9249509,125.61,126.2,124.27
6/5/2017,125.37,10027960,124.02,125.56,123.87
6/2/2017,124.13,7341037,123.72,124.53,123.24
6/1/2017,123.97,8894392,122.82,124,122.26
5/31/2017,122.46,11580420,123.64,124.1753,122
5/30/2017,123.91,8335992,124.08,124.88,123.53
5/26/2017,123.99,7555771,123.93,124.65,123.1
5/25/2017,123.63,12478840,123.74,124.45,122.31
5/24/2017,122.81,8370763,123.07,123.684,121.95
5/23/2017,122.93,14353420,124.67,125.675,122.85
5/22/2017,124.75,13479320,124.98,125.59,123.555
5/19/2017,123.22,21049110,123.96,126.4,123.07
5/18/2017,121.27,37098420,116.31,122.63,114
5/17/2017,120.72,19770550,123.25,123.89,120.5
5/16/2017,124.02,18143610,121.98,124.34,121.74
5/15/2017,121.4,11112300,121.03,121.49,120.031
5/12/2017,120.34,9814886,120.37,120.4677,119.51
5/11/2017,120.16,11347940,120.13,120.5,118.25
5/10/2017,119.98,9338224,120.01,120.33,119.1
5/9/2017,120,15194460,118.62,120,118.07
5/8/2017,116.86,6460771,116.9,117.51,116.2
5/5/2017,116.04,7088097,116.05,116.15,114.8
5/4/2017,115.86,6977683,115.94,116.41,115.15
5/3/2017,116.57,10587910,117.95,118,115.12
5/2/2017,118.09,10032340,117.07,118.69,117
5/1/2017,116.68,7312691,115.63,117.24,115.5
4/28/2017,115.5,6981258,115.9,115.99,115
4/27/2017,115.43,9435857,115,115.96,114.83
4/26/2017,114.97,6674081,115.37,115.75,114.6223
4/25/2017,115.48,11332290,115.54,115.82,114.8
4/24/2017,114.86,13417020,114.04,115.16,114.02
4/21/2017,113.11,8960952,112.8,113.17,112.3
4/20/2017,112.96,13771690,111.53,113.6,111.48
4/19/2017,110.76,9595884,111.99,112.2,110.57
4/18/2017,111.23,8297300,111.2,112.2,110.8674
4/17/2017,111.76,7111117,110.91,111.87,110.3
4/13/2017,110.21,6854470,110.72,111.45,109.82
4/12/2017,110.63,8097064,110.5,111.7,110.31
4/11/2017,110.44,10010850,111.4,111.79,109.46
4/10/2017,111.7,14796220,109,111.88,108.84
4/7/2017,108.99,8341495,107.88,109.07,106.76
4/6/2017,108.04,5201954,107.59,108.42,107.15
4/5/2017,107.44,8187964,108.36,108.82,107.32
4/4/2017,107.52,6477898,107.87,108.26,106.88
4/3/2017,108.09,7783911,108.85,109.47,107.52
3/31/2017,107.83,8994726,108.5,109.1186,107.78
3/30/2017,108.85,10587160,109.729,110.45,108.66
3/29/2017,109.51,8784547,107.97,109.74,107.69
3/28/2017,107.8,6467098,108.23,108.95,107.4601
3/27/2017,108.08,7699358,106.65,108.19,106.51
3/24/2017,108.04,7572922,108.4,109.13,107.23
3/23/2017,108.25,13398120,106.95,108.83,106.44
3/22/2017,106.09,7144945,104.64,106.12,103.98
3/21/2017,105.09,13868960,108.46,108.7,104.7
3/20/2017,107.25,12447930,106.23,108.2,105.94
3/17/2017,105.61,8760765,105.17,106.5,104.86
3/16/2017,105.63,12313540,105.25,105.65,104.301
3/15/2017,103.69,11670640,104.37,104.49,102.6
3/14/2017,104.25,7746539,104.61,106,103.8221
3/13/2017,105.18,16103740,103.52,106.25,103.47
3/10/2017,103.39,4113497,103.43,103.7,102.63
3/9/2017,103.24,4521801,102.97,103.75,102.76
3/8/2017,103.22,7064946,102.63,104.29,102.54
3/7/2017,102.63,4980492,102.3,103.3078,102.11
3/6/2017,102.31,6271374,102.76,103.25,102.1
3/3/2017,103.31,6313293,102.99,103.42,102.44
3/2/2017,103.19,7970738,103.8,104.58,102.77
3/1/2017,104.04,10324960,103.68,104.99,103.21
2/28/2017,102.9,8007397,103.89,103.99,102.03
2/27/2017,103.6,6860807,102.5,103.825,102.2201
2/24/2017,102.95,7356362,101.39,103,101.3
2/23/2017,102.46,10088960,104.72,104.86,101.82
2/22/2017,104.2,15772600,102.48,105.2,102.42
2/21/2017,102.12,8179989,101.03,102.54,100.91
2/17/2017,100.52,8237860,100.69,101.73,100.3
2/16/2017,100.82,7457191,101.86,102.1,100.5
2/15/2017,101.55,12379520,102.06,102.13,100.11
2/14/2017,101.59,10229280,103.14,103.6,100.896
2/13/2017,103.1,9722892,102.82,104.44,102.62
2/10/2017,102.36,7675084,103.88,103.94,102.31
2/9/2017,103.34,8421821,103.325,104.18,102.56
2/8/2017,103.57,10169200,101.55,103.99,101.16
2/7/2017,100.83,5647856,101.04,101.6,100.5
2/6/2017,100.9,6784375,100.17,101.706,100.02
2/3/2017,100.39,6184364,101.5,101.56,100.3
2/2/2017,100.84,5363044,101.28,101.47,100.56
2/1/2017,101.57,5726905,102.07,102.38,100.87
1/31/2017,101.31,7522294,100.24,102.09,100.06
1/30/2017,101.02,8611044,101.2,101.46,100.09
1/27/2017,102.07,8028976,102.25,102.7,101.29
1/26/2017,102.75,12500030,103.92,104.57,102.17
1/25/2017,104.06,23306790,102.46,104.27,101.9
1/24/2017,101.43,37142250,103.15,103.19,99.94
1/23/2017,98.41,13997100,96.48,98.67,96.26
1/20/2017,96.06,9652714,96.45,97.15,95.6707
1/19/2017,96.17,7085970,96.42,96.7,95.58
1/18/2017,96,6587018,96.27,96.27,95.26
1/17/2017,96.12,6340299,96.32,96.59,95
1/13/2017,96.27,10687930,95.95,97.38,95.76
1/12/2017,95.9,8412007,96.85,96.85,94.8
1/11/2017,96.94,8723400,96.92,97.45,95.6
1/10/2017,96.75,14759640,96.4,97.904,95.55
1/9/2017,94.72,10817620,94.16,95.65,93.31
1/6/2017,93.89,7597513,94.4,94.5,93
1/5/2017,94.37,16787830,91.91,94.81,91.64
1/4/2017,90.51,11462690,88.985,90.89,88.58
1/3/2017,88.6,8786988,89,89,88.08
12/30/2016,87.81,7208711,87.57,88.1,87.2
12/29/2016,87.33,5465067,87.82,88.2,87.16
12/28/2016,87.37,6413099,88.3,88.75,87.22
12/27/2016,87.54,5215202,86.72,87.94,86.71
12/23/2016,86.79,6358390,86.62,87.68,86.62
12/22/2016,86.8,14368590,87.89,88.26,86.01
12/21/2016,89.25,9021352,89.96,90.43,89.25
12/20/2016,89.84,8424608,89.19,90.31,88.94
12/19/2016,88.93,10206940,88.61,89.82,88.41
12/16/2016,88.67,11322450,89,90.1,88.56
12/15/2016,88.85,19170560,90,90.6,88.74
12/14/2016,91.19,9148677,91.83,92.26,90.83
12/13/2016,92.16,10450390,92.8,93.73,91.87
12/12/2016,92.47,9347017,92.05,92.89,91.7
12/9/2016,93.28,9162923,92.51,93.64,92.28
12/8/2016,92.31,10907560,91.8,93.08,91.03
12/7/2016,91.07,13218170,90.52,91.65,89.5
12/6/2016,90.4,7772578,91.56,91.93,89.96
12/5/2016,90.99,8862879,90.05,91.4,89.57
12/2/2016,90.48,11711150,90.38,91.74,89.95
12/1/2016,89.86,24008200,94,94.055,89.18
11/30/2016,94.02,11415540,95.28,95.48,93.3
11/29/2016,94.99,14128660,93.67,96.055,93.39
11/28/2016,93.76,14287080,93.02,95.7411,93
11/25/2016,93.01,4868511,93.55,93.75,92.77
11/23/2016,93.03,11736610,92.53,93.4,91.45
11/22/2016,93.21,10396530,94.24,94.42,93.16
11/21/2016,93.41,8926920,94.05,94.66,93
11/18/2016,93.39,9729471,94.85,95.3,92.67
11/17/2016,94.07,10375260,94.71,94.98,93.64
11/16/2016,92.86,13047920,91.39,93.68,91.33
11/15/2016,91,16700650,91,93.49,90.75
11/14/2016,89.77,27341470,92.451,92.54,87.88
11/11/2016,92.99,23694700,93.86,94.09,91.1
11/10/2016,94.34,27298660,98.34,98.5,92.22
11/9/2016,96.67,20912660,97.38,98.58,95.8
11/8/2016,99.85,8065331,99.39,99.99,98.36
11/7/2016,99.35,11184020,100.07,100.62,99.16
11/4/2016,97.57,9038406,96.9,98.79,96.67
11/3/2016,97.75,15580000,98.04,99.3,96.46
11/2/2016,98.51,36965870,103.85,104.1,97.3
11/1/2016,101.15,21226050,100.43,101.24,99.21
10/31/2016,101.69,15833790,102.65,103.21,101.42
10/28/2016,101.93,8352163,102.35,103.05,101.55
10/27/2016,102.38,8793405,103.38,104.11,101.85
10/26/2016,102.78,7570229,103.68,104,102.7
10/25/2016,104.22,8961856,104.86,105.2002,104.02
10/24/2016,104.5,10878840,104.98,105.3,103.55
10/21/2016,103.94,7356226,103.7,103.94,102.75
10/20/2016,103.85,7087015,104.2,104.74,103.57
10/19/2016,103.93,8931290,104.33,104.8,103.65
10/18/2016,103.34,11082800,104.47,104.99,103.31
10/17/2016,102.84,10349520,101.5,103.47,101.27
10/14/2016,101.85,12779630,104.27,104.7,101.03
10/13/2016,102.15,22377940,102.06,102.55,99
10/12/2016,103.62,17735580,105.05,105.11,101.82
10/11/2016,105.23,14676610,107.89,107.97,104.75
10/10/2016,108.41,11505440,106.79,109,106.56
10/7/2016,106,8948099,106.89,107.55,105.56
10/6/2016,107.08,9879871,107.3,107.51,106.185
10/5/2016,106.96,13154000,105.87,107.45,105.66
10/4/2016,105.45,11065380,105.93,106.23,105.05
10/3/2016,105.38,10842050,105.45,106.29,104.98
9/30/2016,105.79,15566160,106.5,107.1,105.79
9/29/2016,105.55,30216610,106.51,106.69,104.57
9/28/2016,108.75,16287430,108.44,109.87,107.16
9/27/2016,108.26,17497870,106.52,108.49,106.37
9/26/2016,105.89,16792750,106.52,107.06,105.3
9/23/2016,107.71,23078980,108.25,108.4,106.71
9/22/2016,109.36,35615500,107.57,109.76,107.48
9/21/2016,106,22985350,102.46,106.19,102.21
9/20/2016,101.45,12848790,102.94,103.73,100.93
9/19/2016,103.03,15220320,105.16,105.5,102.195
9/16/2016,104.64,20361380,104,105.39,103.86
9/15/2016,104.45,20830280,102.62,104.48,102.53
9/14/2016,102.4,19593000,100.08,102.59,100.02
9/13/2016,100.28,19992510,100.38,101.49,98.84
9/12/2016,100.8,17305320,97.38,101.38,97
9/9/2016,99.62,21234170,101.8,102.21,99.05
9/8/2016,102.57,15474890,101.93,103.78,101.63
9/7/2016,102.32,15732340,103.84,104,102.26
9/6/2016,103.78,32771500,100.45,104.3,100.45
9/2/2016,99.25,17469950,97.97,99.665,97.97
9/1/2016,97.42,13366910,97.3,98,97.01
8/31/2016,97.19,28600450,96.14,97.2,96.01
8/30/2016,96,13983900,95.35,96.68,95.17
8/29/2016,94.88,8812224,94.6,95.16,94.21
8/26/2016,95.06,14118550,94.15,95.45,94.08
8/25/2016,93.94,13027180,93.75,94.69,93.12
8/24/2016,93.88,12702060,95.68,96.3,93.56
8/23/2016,95.79,9638938,95.59,96.48,95.41
8/22/2016,95.65,16218810,96.47,96.63,94.75
8/19/2016,96.86,14263640,96.91,97.24,96.34
8/18/2016,97,15006470,97.25,97.94,96.62
8/17/2016,97,14973660,96.17,97.25,96.05
8/16/2016,96.66,27486390,96.15,97.15,95.05
8/15/2016,97.17,33792570,98.28,98.86,96.82
8/12/2016,98.25,71918830,92.98,98.35,92.91
8/11/2016,91.77,54147300,92.14,92.8,91.26
8/10/2016,87.33,28135330,86.01,87.73,86.01
8/9/2016,85.24,15375290,85.05,85.63,84.8
8/8/2016,85,11514040,84.99,85.02,84.3
8/5/2016,84.59,9389329,85.01,85.08,84.44
8/4/2016,84.75,10720530,83.75,84.98,83.69
8/3/2016,83.67,5363701,83.3,83.84,83.17
8/2/2016,83.8,7682308,84.34,84.34,82.91
8/1/2016,84.34,13313720,82.79,84.8,82.59
7/29/2016,82.48,8707325,83.37,83.42,81.945
7/28/2016,83.12,7465956,83.46,83.49,82.1201
7/27/2016,83.1,11603940,83.6,83.64,83
7/26/2016,83.59,7708331,82.86,83.63,82.63
7/25/2016,83.19,13182970,84.47,84.79,82.61
7/22/2016,84.49,5987680,84,84.5,83.81
7/21/2016,84.18,10176750,84.71,85,83.66
7/20/2016,84.42,13980800,83.27,84.7,83.23
7/19/2016,82.77,9792308,82.48,83.69,82.05
7/18/2016,82.65,12107370,80.6,82.79,80.6
7/15/2016,81.25,8915419,81.78,82.49,80.965
7/14/2016,81.74,9356488,81.18,82.24,80.86
7/13/2016,80.57,10727800,81.83,81.88,80.37
7/12/2016,81.74,15265190,81.79,82.88,81.51
7/11/2016,81.46,17367400,79.33,81.9,79.24
7/8/2016,78.99,14011640,78.44,79.35,77.8
7/7/2016,79.35,6808656,79,79.4899,78.71
7/6/2016,78.64,7737637,78.47,78.82,77.68
7/5/2016,78.97,6837814,79.04,79.55,78.37
7/1/2016,79.65,7264578,79.12,80.05,79.12
6/30/2016,79.53,12483880,78.31,79.76,78.28
6/29/2016,78.04,11449960,76.98,78.48,76.9
6/28/2016,76.28,11238520,75.5,76.6,75.5
6/27/2016,74.23,15203760,75.8,76.29,73.3
6/24/2016,76.29,18148590,76.83,77.5,75.43
6/23/2016,79.14,8258057,79.16,79.46,78.55
6/22/2016,78.73,8160558,79.04,79.12,78.21
6/21/2016,78.62,8865212,78.75,79.08,78.4
6/20/2016,78.15,9603659,77.9,78.7899,77.84
6/17/2016,77,15547790,78.45,78.45,76.48
6/16/2016,78.27,13551820,77.84,78.4,76.2
6/15/2016,78.39,14720240,78.31,78.7686,77.51
6/14/2016,77.77,22349320,76.89,78.45,76.75
6/13/2016,75.45,11289770,75.25,76.455,74.85
6/10/2016,75.92,10419660,76.43,77.05,75.76
6/9/2016,77.56,8991859,77.39,78.07,76.78
6/8/2016,77.64,11603380,78,78.53,77.375
6/7/2016,77.84,12876640,78.19,78.37,77.32
6/6/2016,78.06,19155500,77.11,78.33,76.7
6/3/2016,76.62,23675020,77.24,77.8,75.71
6/2/2016,77.3,45371220,76.65,77.75,76.56
6/1/2016,76.69,62462540,79.15,80.14,76.55
5/31/2016,82,77980590,81,82.03,80.2
5/27/2016,80.97,24544870,78.49,81,78.39
5/26/2016,78.35,26930700,76.99,78.865,76.8
5/25/2016,75.59,49605940,78.53,79.2,74.12
5/24/2016,81.12,16675160,79.17,81.31,79.07
5/23/2016,79,7172888,78.95,79.5,78.6
5/20/2016,78.79,11037240,79.07,79.45,78.3501
5/19/2016,78.32,8311218,78.65,79.26,77.6
5/18/2016,79.03,9070749,78.71,80,78.47
5/17/2016,79.35,10970500,79.83,80.2,79.31
5/16/2016,79.29,11637290,77.86,79.93,77.59
5/13/2016,77.16,10073650,78.825,79.16,76.97
5/12/2016,79.16,8773294,80.01,80.45,78.32
5/11/2016,79.8,11059650,79.43,80.485,79.41
5/10/2016,79.72,9315502,79.79,79.98,79.15
5/9/2016,79.41,11783380,78.94,79.98,78.89
5/6/2016,79.2,12852580,78.35,79.72,78.25
5/5/2016,78.83,27940170,79.52,79.94,78.1
5/4/2016,75.82,14289990,75.64,75.91,75.01
5/3/2016,75.91,8008683,75.96,76.27,75.425
5/2/2016,76.61,7715004,76.89,77,75.94
4/29/2016,76.94,10096800,76.81,77.28,75.66
4/28/2016,76.4,9948096,77.65,77.9,76.09
4/27/2016,77.65,11456400,78.3,78.62,76.57
4/26/2016,78.61,9576697,78.85,79.56,77.8001
4/25/2016,78.84,9184890,79.8,79.84,78.68
4/22/2016,79.89,8628875,80.12,85.89,79.155
4/21/2016,80.78,8812676,81.08,81.78,80.2
4/20/2016,81.21,14900920,79,81.735,78.99
4/19/2016,79.46,14727460,79.2,80.48,78.47
4/18/2016,79.01,7761672,78.52,79.12,77.71
4/15/2016,78.97,11696030,79.45,79.75,78.46
4/14/2016,79.61,12589950,79.31,79.858,78.36
4/13/2016,79.64,14118650,78.74,79.72,78.5
4/12/2016,77.86,7111310,78,78.24,76.87
4/11/2016,77.71,7895083,78.07,78.589,77.43
4/8/2016,77.47,8395405,78.27,78.76,76.621
4/7/2016,77.61,10935080,77.6,78.6,77.1825
4/6/2016,78.68,9061421,77.3,79.15,77.19
4/5/2016,77.32,9591390,78.2,78.3,76.91
